Total Instructions,Total Cycles,cpu energy,dram energy,total energy,total time
6742190,5022717,38452.0,1770.0,40222.0,0.0016396045684814453
6741864,5074943,69336.0,5188.0,74524.0,0.0018885135650634766
6743448,4804277,44373.0,2258.0,46631.0,0.0017940998077392578
6744197,4768336,67383.0,4090.0,71473.0,0.001964092254638672
6744082,4957965,75683.0,4211.0,79894.0,0.0020859241485595703
6744362,4830439,66162.0,3235.0,69397.0,0.0019006729125976562
6745179,4808019,77942.0,4517.0,82459.0,0.0022430419921875
6744510,4923313,71411.0,3479.0,74890.0,0.001796722412109375
6745220,4847360,66528.0,4333.0,70861.0,0.0018534660339355469
6745653,5000862,75317.0,3784.0,79101.0,0.001861572265625
6745571,4807725,70007.0,3723.0,73730.0,0.0020990371704101562
6746605,4808085,75134.0,4334.0,79468.0,0.001890420913696289
6746043,4805295,105652.0,6347.0,111999.0,0.0024106502532958984
6744954,4697904,73425.0,3724.0,77149.0,0.0018165111541748047
6747009,4692102,65368.0,3723.0,69091.0,0.0020775794982910156
6747370,4689020,75745.0,4333.0,80078.0,0.001847982406616211
6747300,4765075,74523.0,3968.0,78491.0,0.0019061565399169922
6748431,4667596,104798.0,5981.0,110779.0,0.0023775100708007812
6749391,4729571,71349.0,4150.0,75499.0,0.0019233226776123047
6748953,4671599,71045.0,4639.0,75684.0,0.0023336410522460938
6750610,4615542,67139.0,4211.0,71350.0,0.0020606517791748047
6750084,4571125,103393.0,7325.0,110718.0,0.002471446990966797
6749525,4792352,68298.0,4211.0,72509.0,0.0020401477813720703
6750622,4799716,103699.0,6897.0,110596.0,0.002300262451171875
6750999,4915316,66711.0,3601.0,70312.0,0.0020198822021484375
6750670,4860566,67383.0,3967.0,71350.0,0.0018229484558105469
6753671,4797266,68908.0,4639.0,73547.0,0.002360820770263672
6754665,5369726,67200.0,4211.0,71411.0,0.0019681453704833984
6752500,7876461,104797.0,6531.0,111328.0,0.0023641586303710938
6752870,7712547,61462.0,4089.0,65551.0,0.001924276351928711
6753919,7868549,112060.0,6592.0,118652.0,0.0024406909942626953
6754081,7206774,65186.0,4029.0,69215.0,0.002002716064453125
6755259,7708197,70312.0,5371.0,75683.0,0.002415180206298828
6756497,6443456,102417.0,7080.0,109497.0,0.00228118896484375
6756131,7887107,68603.0,4760.0,73363.0,0.0023763179779052734
6757635,7169310,67627.0,3602.0,71229.0,0.0019316673278808594
6758382,7835710,100219.0,5920.0,106139.0,0.0021681785583496094
6757149,7009068,37476.0,3418.0,40894.0,0.0017688274383544922
6757941,7451510,73974.0,4272.0,78246.0,0.001918792724609375
6758281,7774903,68359.0,3296.0,71655.0,0.0018305778503417969
6758241,8138601,71045.0,4212.0,75257.0,0.002073526382446289
6758804,8125353,71045.0,3479.0,74524.0,0.0018265247344970703
6759029,7218885,66894.0,4150.0,71044.0,0.0019507408142089844
6758898,8389090,74280.0,3723.0,78003.0,0.0019664764404296875
6760516,7996552,67993.0,3601.0,71594.0,0.0018444061279296875
6760293,8214909,66650.0,3967.0,70617.0,0.0020356178283691406
6760165,8592728,79040.0,4090.0,83130.0,0.001840829849243164
6762409,8167217,58289.0,3052.0,61341.0,0.0018513202667236328
6762612,7479241,30822.0,2014.0,32836.0,0.0014336109161376953
6762364,7564828,50354.0,1770.0,52124.0,0.0013685226440429688
6763869,7069219,23682.0,793.0,24475.0,0.0013537406921386719
