Matrix Size,Total Instructions,Total Cycles,L1 Data Cache Misses,L1 Instruction Cache Misses,L2 Data Cache Misses,L2 Instruction Cache Misses,L1 Cache Misses,L2 Cache Misses,L3 Load Misses,Data TLB Misses,Ins TLB Misses,L1 Load Misses,L1 Store Misses,L2 Load Misses,L2 Store Misses,Cycles Stall Waiting for MemWrites,Cycles With 0 ins issue,Cycles With max ins issue,Cycles With no ins comp,Cycles With max ins comp,Unconditional branch ins,Conditional branch ins,Conditional branch ins taken,Conditional branch ins not taken,Conditional branch ins mispred,Conditional branch ins corr_pred,Load ins,Store Ins,Branch Ins,Cycle stalled on any resoruce,Loas/Store ins comp,L2 data cache access,L3 data cache access,L2 data cache reads,L3 data cache reads,L2 data cache writes,L3 data cache writes,L2 ins cache hits,L2 ins cache accesses,L3 ins cache accesses,L2 ins cache reads,L3 ins cache reads,L2 tot cache access,L3 tot cache access,L2 tot cache reads,L3 tot cache reads,L2 tot cache writes,L3 tot cache writes,FLOPS:sing_prec_vec_ops,FLOPS:dob_prec_vec_ops,Sing precision vec ins,Dob prec vec ins,Ref clock cyc,cpu energy,dram energy,total energy,total time
646,79725964,46862613,1635901,7754,1487787,6379,1815835,253598,2468,7902,435,100512,209420,17575,71852,1156655,1094612,14497721,21531892,16504252,1685528,3097139,1398188,1714364,7407,3092481,17385284,5660794,4781983,4244972,23061728,312493,1428096,100435,26319,238048,74857,953,7560,5314,9183,9253,324716,1437501,106583,1376903,235538,73130,0,70273768,0,20075248,488340,757628.0,46692.0,804320.0,0.02669835090637207
647,80013447,47837931,1554087,7481,1513699,6370,1839556,243111,1909,7643,441,79326,209922,19116,73465,1164792,1054006,14448466,21487041,16966517,1690855,3110214,1405072,1704429,7307,3106610,17448697,5695867,4801376,4191355,23160836,315964,1489900,101041,26799,239484,75082,746,7120,5429,7915,7793,325536,1477081,107854,1401175,241992,73612,0,70492198,0,20137618,481866,775022.0,45654.0,820676.0,0.027203798294067383
648,80025559,48265645,1751838,7167,1555133,7996,1827858,249519,2849,7650,506,92711,210429,19077,73697,977583,1063126,14498237,21679661,16776050,1695740,3123150,1412991,1709780,7289,3143352,17518665,5719866,4915926,4366963,23213339,321966,1473304,97834,26892,242198,74292,1740,8504,5062,10358,6800,322779,1460958,109920,1391041,242416,72976,0,70710964,0,20200084,482936,585631.0,19714.0,605345.0,0.02133464813232422
649,80286388,48112068,1835736,7630,1544876,10694,1662912,265584,2828,8688,506,106754,211299,19064,71764,1110572,1086604,14539630,22065276,16745940,1700734,3134401,1420591,1714610,7338,3144337,17585808,5713382,4903614,3591615,23299333,332223,1518579,111592,28821,246072,75174,1359,6285,5047,9802,6926,340514,1569961,112674,1417560,244568,73439,0,71776362,0,20262646,483315,562560.0,16174.0,578734.0,0.021286725997924805
650,80549321,48159631,1801069,7326,1589233,7048,1576474,253765,3187,7971,724,108879,211989,18726,72466,1104341,1069837,14581280,24888338,16820895,1746123,3147450,1432751,1720516,7346,3157627,17652270,5730710,4988403,2977091,23384419,331009,1368959,103707,30495,246544,75078,1419,26759,4926,8832,7125,338312,1564975,106268,1415435,245244,74684,0,71998404,0,20325304,481700,563964.0,12634.0,576598.0,0.02141404151916504
651,80802605,48858823,1856442,9979,1517900,5924,1654630,338128,3377,7779,726,117538,210234,20555,73365,1131976,1101024,14603638,22481908,16853768,1741129,3160465,1439303,1748359,7443,3177528,17719032,5748153,4872313,2906581,23467560,335556,1429722,107949,29521,247132,76480,802,21477,5539,12472,6718,327966,1599649,120178,1432972,246842,75078,0,72220786,0,20388058,484467,554747.0,11963.0,566710.0,0.02116227149963379
652,81069639,48260188,1858854,9267,1474438,6690,1892127,355872,2985,7535,508,114596,207931,20456,75206,1279715,1152565,14798450,22084826,16867920,1745783,3203521,1443606,1739161,7253,3178388,17780946,5765356,4889965,2961319,23553804,336120,1424087,105374,29105,243214,72743,1133,12791,5597,13905,8067,341033,1578773,126395,1453772,239130,74868,0,72443508,0,20450908,487039,587035.0,13978.0,601013.0,0.021548032760620117
653,81604833,48013168,1874626,11023,1585461,5325,1911876,335219,7822,7966,493,121688,211167,21365,73560,1180543,1121764,14807961,22625678,17099650,1724236,3208172,1449436,1743222,7458,3197749,17848286,5802068,4907373,3087128,23648124,336828,1537795,122616,31712,244012,73486,768,8055,6027,9142,9471,344421,1601333,129739,1358416,241678,75232,0,72666570,0,20513854,522646,804563.0,46570.0,851133.0,0.028435230255126953
654,81619770,48927444,1653361,7967,1623080,6673,1782977,297113,3413,7895,462,122816,213174,21076,74589,1082714,1171450,14884579,22404821,17026784,1728370,3218995,1457380,1741948,7387,3220263,17919423,5813458,4926485,2883018,23713633,331911,1560875,122287,29696,243028,76813,693,7200,5989,8700,8273,354740,1604218,122573,1352635,246764,74919,0,72889972,0,20576896,503256,789854.0,48278.0,838132.0,0.02733778953552246
655,81860061,49222738,1604863,7151,1649971,5752,1940891,272710,3247,8548,489,109004,214799,21521,74592,1131113,1155099,14819676,22361418,17117846,1732968,3200224,1456106,1744253,7177,3194614,18001770,5824148,4932281,3120287,23837537,335595,1594504,123716,34937,251546,76693,785,6191,5894,9737,8788,348234,1515730,131654,1373734,245128,75850,0,73113714,0,20640034,511999,962766.0,54016.0,1016782.0,0.03454470634460449
656,82078352,49278172,1781476,7312,1602007,7924,1960090,297655,2824,8064,403,107262,215173,23072,75405,1133185,1156512,14855429,22350617,17249172,1737468,3208909,1455779,1746073,7246,3193272,18092585,5834585,5092760,4084418,23924927,340051,1613881,121224,34576,250640,77302,1632,6291,5967,10055,7469,349233,1552286,114458,1482617,246844,76667,0,73337796,0,20703268,518619,614074.0,29907.0,643981.0,0.022626876831054688
